dataset_size,query_type,query_shape,algorithm,runtime_seconds,scanned_count,result_count
1000,simple,characteristic,baseline_linear_scan,0.018081375000000066,1000,157
1000,simple,characteristic,optimized_index,0.004389709000000019,157,157
1000,medium,characteristic_value_range,baseline_linear_scan,0.017420042000000024,1000,141
1000,medium,characteristic_value_range,optimized_index,0.0041941249999999375,157,141
1000,complex,characteristic_value_date_range,baseline_linear_scan,0.01708370800000003,1000,14
1000,complex,characteristic_value_date_range,optimized_index,0.0008030409999999488,16,14
5000,simple,characteristic,baseline_linear_scan,0.08645049999999999,5000,810
5000,simple,characteristic,optimized_index,0.02214841600000006,810,810
5000,medium,characteristic_value_range,baseline_linear_scan,0.08773700000000006,5000,734
5000,medium,characteristic_value_range,optimized_index,0.022662457999999996,810,734
5000,complex,characteristic_value_date_range,baseline_linear_scan,0.08626629200000002,5000,190
5000,complex,characteristic_value_date_range,optimized_index,0.006057500000000049,212,190
10000,simple,characteristic,baseline_linear_scan,0.19286391599999986,10000,1575
10000,simple,characteristic,optimized_index,0.04513537500000009,1575,1575
10000,medium,characteristic_value_range,baseline_linear_scan,0.18773550000000006,10000,1428
10000,medium,characteristic_value_range,optimized_index,0.044781417000000046,1575,1428
10000,complex,characteristic_value_date_range,baseline_linear_scan,0.18480179200000002,10000,401
10000,complex,characteristic_value_date_range,optimized_index,0.013915917000000055,445,401
12400,simple,characteristic,baseline_linear_scan,0.2292202910000003,12400,1980
12400,simple,characteristic,optimized_index,0.055599500000000024,1980,1980
12400,medium,characteristic_value_range,baseline_linear_scan,0.23315354200000016,12400,1797
12400,medium,characteristic_value_range,optimized_index,0.05660316599999993,1980,1797
12400,complex,characteristic_value_date_range,baseline_linear_scan,0.23277654199999986,12400,514
12400,complex,characteristic_value_date_range,optimized_index,0.017183124999999855,570,514
