site_a,site_b,cosine_similarity
USGS-412740081381100,USGS-412742081380700,0.9963
USGS-412737081380600,USGS-412738081380100,0.995
USGS-04201500,USGS-412226081344500,0.9784
USGS-412738081380100,USGS-412746081380100,0.976
USGS-412745081380000,USGS-412750081382200,0.9619
USGS-412740081381200,USGS-412745081380000,0.9605
USGS-412740081381200,USGS-412746081380100,0.9603
USGS-412737081380600,USGS-412746081380100,0.9576
USGS-412738081380100,USGS-412740081381200,0.9536
USGS-412738081380100,USGS-412742081380500,0.9518
USGS-04208000,USGS-04208503,0.9495
USGS-412737081380600,USGS-412740081381100,0.9486
USGS-412737081380600,USGS-412742081380500,0.9484
USGS-412737081380600,USGS-412742081380700,0.9423
USGS-412737081380501,USGS-412742081380600,0.9418
USGS-412742081380500,USGS-412742081380600,0.9387
USGS-412737081380501,USGS-412740081381100,0.9384
USGS-412742081380500,USGS-412746081380100,0.9326
USGS-412737081380600,USGS-412740081381200,0.9242
USGS-412737081380501,USGS-412742081380700,0.9162
